,Series Code,Series Name
0,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population)
1,EG.CFT.ACCS.RU.ZS,"Access to clean fuels and technologies for cooking, rural (% of rural population)"
2,EG.CFT.ACCS.UR.ZS,"Access to clean fuels and technologies for cooking, urban (% of urban population)"
3,EG.ELC.ACCS.ZS,Access to electricity (% of population)
4,EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)"
5,EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)"
6,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
7,FX.OWN.TOTL.FE.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
8,FX.OWN.TOTL.MA.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
9,FX.OWN.TOTL.OL.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)"
10,FX.OWN.TOTL.40.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)"
11,FX.OWN.TOTL.PL.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)"
12,FX.OWN.TOTL.60.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)"
13,FX.OWN.TOTL.SO.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)"
14,FX.OWN.TOTL.YG.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)"
15,per_si_allsi.adq_pop_tot,Adequacy of social insurance programs (% of total welfare of beneficiary households)
16,per_allsp.adq_pop_tot,Adequacy of social protection and labor programs (% of total welfare of beneficiary households)
17,per_sa_allsa.adq_pop_tot,Adequacy of social safety net programs (% of total welfare of beneficiary households)
18,per_lm_alllm.adq_pop_tot,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)
19,SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)"
20,SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
21,SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
22,NY.ADJ.NNTY.KD.ZG,Adjusted net national income (annual % growth)
23,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2015 US$)
24,NY.ADJ.NNTY.CD,Adjusted net national income (current US$)
25,NY.ADJ.NNTY.PC.KD.ZG,Adjusted net national income per capita (annual % growth)
26,NY.ADJ.NNTY.PC.KD,Adjusted net national income per capita (constant 2015 US$)
27,NY.ADJ.NNTY.PC.CD,Adjusted net national income per capita (current US$)
28,NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
29,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)"
30,NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)"
31,NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)"
32,NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI)
33,NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$)
34,NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI)
35,NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$)
36,NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI)
37,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$)
38,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
39,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
40,NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI)
41,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
42,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
43,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
44,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
45,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
46,NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI)
47,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$)
48,NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI)
49,NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$)
50,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
51,SE.SEC.UNER.LO.ZS,Adolescents out of school (% of lower secondary school age)
52,SE.SEC.UNER.LO.FE.ZS,"Adolescents out of school, female (% of female lower secondary school age)"
53,SE.SEC.UNER.LO.MA.ZS,"Adolescents out of school, male (% of male lower secondary school age)"
54,SH.HIV.INCD.TL,Adults (ages 15+) and children (ages 0-14) newly infected with HIV
55,SH.HIV.INCD,Adults (ages 15-49) newly infected with HIV
56,SP.POP.DPND,Age dependency ratio (% of working-age population)
57,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
58,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
59,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land)
60,AG.LND.AGRI.ZS,Agricultural land (% of land area)
61,AG.LND.AGRI.K2,Agricultural land (sq. km)
62,AG.AGR.TRAC.NO,"Agricultural machinery, tractors"
63,AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land"
64,EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total)
65,EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent)
66,EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total)
67,EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
68,TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports)
69,TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports)
70,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)"
71,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)"
72,NV.AGR.TOTL.KD,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
73,NV.AGR.TOTL.KN,"Agriculture, forestry, and fishing, value added (constant LCU)"
74,NV.AGR.TOTL.CN,"Agriculture, forestry, and fishing, value added (current LCU)"
75,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)"
76,NV.AGR.EMPL.KD,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
77,IS.AIR.GOOD.MT.K1,"Air transport, freight (million ton-km)"
78,IS.AIR.PSGR,"Air transport, passengers carried"
79,IS.AIR.DPRT,"Air transport, registered carrier departures worldwide"
80,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use)
81,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
82,ER.H2O.FWDM.ZS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
83,ER.H2O.FWIN.ZS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
84,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)"
85,ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)"
86,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"
87,SI.SPR.PCAP.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)"
88,SH.HIV.ARTC.ZS,Antiretroviral therapy coverage (% of people living with HIV)
89,SH.HIV.PMTC.ZS,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)
90,ER.FSH.AQUA.MT,Aquaculture production (metric tons)
91,AG.LND.ARBL.ZS,Arable land (% of land area)
92,AG.LND.ARBL.HA.PC,Arable land (hectares per person)
93,AG.LND.ARBL.HA,Arable land (hectares)
94,SH.STA.ARIC.ZS,ARI treatment (% of children under 5 taken to a health provider)
95,MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force)
96,MS.MIL.TOTL.P1,"Armed forces personnel, total"
97,MS.MIL.XPRT.KD,Arms exports (SIPRI trend indicator values)
98,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values)
99,FB.ATM.TOTL.P5,"Automated teller machines (ATMs) (per 100,000 adults)"
100,AG.LND.PRCP.MM,Average precipitation in depth (mm per year)
101,IC.CUS.DURS.EX,Average time to clear exports through customs (days)
102,SI.RMT.COST.OB.ZS,Average transaction cost of sending remittances from a specific country (%)
103,SI.RMT.COST.IB.ZS,Average transaction cost of sending remittances to a specific country (%)
104,SL.TLF.0714.SW.TM,"Average working hours of children, study and work, ages 7-14 (hours per week)"
105,SL.TLF.0714.SW.FE.TM,"Average working hours of children, study and work, female, ages 7-14 (hours per week)"
106,SL.TLF.0714.SW.MA.TM,"Average working hours of children, study and work, male, ages 7-14 (hours per week)"
107,SL.TLF.0714.WK.TM,"Average working hours of children, working only, ages 7-14 (hours per week)"
108,SL.TLF.0714.WK.FE.TM,"Average working hours of children, working only, female, ages 7-14 (hours per week)"
109,SL.TLF.0714.WK.MA.TM,"Average working hours of children, working only, male, ages 7-14 (hours per week)"
110,FB.BNK.CAPA.ZS,Bank capital to assets ratio (%)
111,FD.RES.LIQU.AS.ZS,Bank liquid reserves to bank assets ratio (%)
112,FB.AST.NPER.ZS,Bank nonperforming loans to total gross loans (%)
113,VC.BTL.DETH,Battle-related deaths (number of people)
114,per_si_allsi.ben_q1_tot,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)
115,per_allsp.ben_q1_tot,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)
116,per_sa_allsa.ben_q1_tot,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)
117,per_lm_alllm.ben_q1_tot,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)
118,TM.TAX.MRCH.BC.ZS,"Binding coverage, all products (%)"
119,TM.TAX.MANF.BC.ZS,"Binding coverage, manufactured products (%)"
120,TM.TAX.TCOM.BC.ZS,"Binding coverage, primary products (%)"
121,EN.BIR.THRD.NO,"Bird species, threatened"
122,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
123,SH.STA.BRTC.ZS,Births attended by skilled health staff (% of total)
124,FB.CBK.BRWR.P3,"Borrowers from commercial banks (per 1,000 adults)"
125,TM.TAX.MRCH.BR.ZS,"Bound rate, simple mean, all products (%)"
126,TM.TAX.MANF.BR.ZS,"Bound rate, simple mean, manufactured products (%)"
127,TM.TAX.TCOM.BR.ZS,"Bound rate, simple mean, primary products (%)"
128,IC.FRM.BRIB.ZS,Bribery incidence (% of firms experiencing at least one bribe payment request)
129,FM.LBL.BMNY.GD.ZS,Broad money (% of GDP)
130,FM.LBL.BMNY.CN,Broad money (current LCU)
131,FM.LBL.BMNY.ZG,Broad money growth (annual %)
132,FM.LBL.BMNY.IR.ZS,Broad money to total reserves ratio
133,IC.BUS.DISC.XQ,Business extent of disclosure index (0=less disclosure to 10=more disclosure)
134,ER.FSH.CAPT.MT,Capture fisheries production (metric tons)
135,SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
136,SH.DTH.INJR.ZS,"Cause of death, by injury (% of total)"
137,SH.DTH.NCOM.ZS,"Cause of death, by non-communicable diseases (% of total)"
138,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)"
139,GC.DOD.TOTL.CN,"Central government debt, total (current LCU)"
140,AG.PRD.CREL.MT,Cereal production (metric tons)
141,AG.YLD.CREL.KG,Cereal yield (kg per hectare)
142,NE.GDI.STKB.KN,Changes in inventories (constant LCU)
143,NE.GDI.STKB.CN,Changes in inventories (current LCU)
144,NE.GDI.STKB.CD,Changes in inventories (current US$)
145,BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)"
146,BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)"
147,NV.MNF.CHEM.ZS.UN,Chemicals (% of value added in manufacturing)
148,SL.AGR.0714.ZS,Child employment in agriculture (% of economically active children ages 7-14)
149,SL.AGR.0714.FE.ZS,"Child employment in agriculture, female (% of female economically active children ages 7-14)"
150,SL.AGR.0714.MA.ZS,"Child employment in agriculture, male (% of male economically active children ages 7-14)"
151,SL.MNF.0714.ZS,Child employment in manufacturing (% of economically active children ages 7-14)
152,SL.MNF.0714.FE.ZS,"Child employment in manufacturing, female (% of female economically active children ages 7-14)"
153,SL.MNF.0714.MA.ZS,"Child employment in manufacturing, male (% of male economically active children ages 7-14)"
154,SL.SRV.0714.ZS,Child employment in services (% of economically active children ages 7-14)
155,SL.SRV.0714.FE.ZS,"Child employment in services, female (% of female economically active children ages 7-14)"
156,SL.SRV.0714.MA.ZS,"Child employment in services, male (% of male economically active children ages 7-14)"
157,SH.HIV.0014,Children (0-14) living with HIV
158,SH.HIV.INCD.14,Children (ages 0-14) newly infected with HIV
159,SL.TLF.0714.FE.ZS,"Children in employment, female (% of female children ages 7-14)"
160,SL.TLF.0714.MA.ZS,"Children in employment, male (% of male children ages 7-14)"
161,SL.SLF.0714.ZS,"Children in employment, self-employed (% of children in employment, ages 7-14)"
162,SL.SLF.0714.FE.ZS,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)"
163,SL.SLF.0714.MA.ZS,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)"
164,SL.TLF.0714.SW.ZS,"Children in employment, study and work (% of children in employment, ages 7-14)"
165,SL.TLF.0714.SW.FE.ZS,"Children in employment, study and work, female (% of female children in employment, ages 7-14)"
166,SL.TLF.0714.SW.MA.ZS,"Children in employment, study and work, male (% of male children in employment, ages 7-14)"
167,SL.TLF.0714.ZS,"Children in employment, total (% of children ages 7-14)"
168,SL.FAM.0714.ZS,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)"
169,SL.FAM.0714.FE.ZS,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)"
170,SL.FAM.0714.MA.ZS,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)"
171,SL.WAG.0714.ZS,"Children in employment, wage workers (% of children in employment, ages 7-14)"
172,SL.WAG.0714.FE.ZS,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)"
173,SL.WAG.0714.MA.ZS,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)"
