,Series Code,Series Name
0,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population)
1,EG.CFT.ACCS.RU.ZS,"Access to clean fuels and technologies for cooking, rural (% of rural population)"
2,EG.CFT.ACCS.UR.ZS,"Access to clean fuels and technologies for cooking, urban (% of urban population)"
3,EG.ELC.ACCS.ZS,Access to electricity (% of population)
4,EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)"
5,EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)"
6,NY.ADJ.NNTY.CD,Adjusted net national income (current US$)
7,NY.ADJ.NNTY.PC.CD,Adjusted net national income per capita (current US$)
8,NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI)
9,NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$)
10,NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI)
11,NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$)
12,NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI)
13,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$)
14,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
15,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
16,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
17,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
18,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
19,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
20,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
21,NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI)
22,NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$)
23,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
24,SH.HIV.INCD.TL,Adults (ages 15+) and children (ages 0-14) newly infected with HIV
25,SH.HIV.INCD,Adults (ages 15-49) newly infected with HIV
26,SP.POP.DPND,Age dependency ratio (% of working-age population)
27,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
28,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
29,AG.LND.AGRI.ZS,Agricultural land (% of land area)
30,AG.LND.AGRI.K2,Agricultural land (sq. km)
31,EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent)
32,EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
33,TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports)
34,TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports)
35,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)"
36,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)"
37,NV.AGR.TOTL.KD,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
38,NV.AGR.TOTL.KN,"Agriculture, forestry, and fishing, value added (constant LCU)"
39,NV.AGR.TOTL.CN,"Agriculture, forestry, and fishing, value added (current LCU)"
40,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)"
41,NV.AGR.EMPL.KD,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
42,IS.AIR.GOOD.MT.K1,"Air transport, freight (million ton-km)"
43,IS.AIR.PSGR,"Air transport, passengers carried"
44,IS.AIR.DPRT,"Air transport, registered carrier departures worldwide"
45,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
46,ER.H2O.FWDM.ZS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
47,ER.H2O.FWIN.ZS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
48,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)"
49,ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)"
50,SH.HIV.ARTC.ZS,Antiretroviral therapy coverage (% of people living with HIV)
51,ER.FSH.AQUA.MT,Aquaculture production (metric tons)
52,AG.LND.ARBL.ZS,Arable land (% of land area)
53,AG.LND.ARBL.HA.PC,Arable land (hectares per person)
54,AG.LND.ARBL.HA,Arable land (hectares)
55,MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force)
56,MS.MIL.TOTL.P1,"Armed forces personnel, total"
57,FB.ATM.TOTL.P5,"Automated teller machines (ATMs) (per 100,000 adults)"
58,AG.LND.PRCP.MM,Average precipitation in depth (mm per year)
59,FD.RES.LIQU.AS.ZS,Bank liquid reserves to bank assets ratio (%)
60,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
61,FM.LBL.BMNY.GD.ZS,Broad money (% of GDP)
62,FM.LBL.BMNY.CN,Broad money (current LCU)
63,FM.LBL.BMNY.ZG,Broad money growth (annual %)
64,FM.LBL.BMNY.IR.ZS,Broad money to total reserves ratio
65,IC.BUS.DISC.XQ,Business extent of disclosure index (0=less disclosure to 10=more disclosure)
66,ER.FSH.CAPT.MT,Capture fisheries production (metric tons)
67,SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
68,SH.DTH.INJR.ZS,"Cause of death, by injury (% of total)"
69,SH.DTH.NCOM.ZS,"Cause of death, by non-communicable diseases (% of total)"
70,AG.PRD.CREL.MT,Cereal production (metric tons)
71,AG.YLD.CREL.KG,Cereal yield (kg per hectare)
72,BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)"
73,BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)"
74,FM.AST.CGOV.ZG.M3,Claims on central government (annual growth as % of broad money)
75,FS.AST.CGOV.GD.ZS,"Claims on central government, etc. (% GDP)"
76,FM.AST.DOMO.ZG.M3,Claims on other sectors of the domestic economy (annual growth as % of broad money)
77,FM.AST.PRVT.ZG.M3,Claims on private sector (annual growth as % of broad money)
78,EN.ATM.CO2E.KD.GD,CO2 emissions (kg per 2015 US$ of GDP)
79,EN.ATM.CO2E.PP.GD.KD,CO2 emissions (kg per 2021 PPP $ of GDP)
80,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP)
81,EN.ATM.CO2E.KT,CO2 emissions (kt)
82,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita)
83,NY.GDP.COAL.RT.ZS,Coal rents (% of GDP)
84,FB.CBK.BRCH.P5,"Commercial bank branches (per 100,000 adults)"
85,TX.VAL.SERV.CD.WT,Commercial service exports (current US$)
86,TM.VAL.SERV.CD.WT,Commercial service imports (current US$)
87,BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)"
88,BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)"
89,SE.COM.DURS,"Compulsory education, duration (years)"
90,TX.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service exports)"
91,TM.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service imports)"
92,FP.CPI.TOTL,Consumer price index (2010 = 100)
93,SL.FAM.WORK.FE.ZS,"Contributing family workers, female (% of female employment) (modeled ILO estimate)"
94,SL.FAM.WORK.MA.ZS,"Contributing family workers, male (% of male employment) (modeled ILO estimate)"
95,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)"
96,CC.EST,Control of Corruption: Estimate
97,CC.NO.SRC,Control of Corruption: Number of Sources
98,CC.PER.RNK,Control of Corruption: Percentile Rank
99,CC.PER.RNK.LOWER,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval"
100,CC.PER.RNK.UPPER,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval"
101,CC.STD.ERR,Control of Corruption: Standard Error
102,IC.REG.COST.PC.ZS,Cost of business start-up procedures (% of GNI per capita)
103,IC.REG.COST.PC.FE.ZS,"Cost of business start-up procedures, female (% of GNI per capita)"
104,IC.REG.COST.PC.MA.ZS,"Cost of business start-up procedures, male (% of GNI per capita)"
105,IC.EXP.CSBC.CD,"Cost to export, border compliance (US$)"
106,IC.EXP.CSDC.CD,"Cost to export, documentary compliance (US$)"
107,IC.IMP.CSBC.CD,"Cost to import, border compliance (US$)"
108,IC.IMP.CSDC.CD,"Cost to import, documentary compliance (US$)"
109,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100)
110,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP)
111,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)"
112,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP)
113,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$)
114,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)"
115,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
116,PA.NUS.ATLS,DEC alternative conversion factor (LCU per US$)
117,IC.CRD.INFO.XQ,Depth of credit information index (0=low to 8=high)
118,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP)
119,FD.AST.PRVT.GD.ZS,Domestic credit to private sector by banks (% of GDP)
120,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure)
121,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP)
122,SH.XPD.GHED.GE.ZS,Domestic general government health expenditure (% of general government expenditure)
123,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$)
124,SH.XPD.GHED.PP.CD,"Domestic general government health expenditure per capita, PPP (current international $)"
125,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure)
126,SH.XPD.PVTD.PC.CD,Domestic private health expenditure per capita (current US$)
127,SH.XPD.PVTD.PP.CD,"Domestic private health expenditure per capita, PPP (current international $)"
128,IC.BUS.EASE.XQ,Ease of doing business rank (1=most business-friendly regulations)
129,IC.BUS.DFRN.XQ,Ease of doing business score (0 = lowest performance to 100 = best performance)
130,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)"
131,SL.EMP.MPYR.MA.ZS,"Employers, male (% of male employment) (modeled ILO estimate)"
132,SL.EMP.MPYR.ZS,"Employers, total (% of total employment) (modeled ILO estimate)"
133,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment) (modeled ILO estimate)
134,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"
135,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)"
136,SL.IND.EMPL.ZS,Employment in industry (% of total employment) (modeled ILO estimate)
137,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)"
138,SL.IND.EMPL.MA.ZS,"Employment in industry, male (% of male employment) (modeled ILO estimate)"
139,SL.SRV.EMPL.ZS,Employment in services (% of total employment) (modeled ILO estimate)
140,SL.SRV.EMPL.FE.ZS,"Employment in services, female (% of female employment) (modeled ILO estimate)"
141,SL.SRV.EMPL.MA.ZS,"Employment in services, male (% of male employment) (modeled ILO estimate)"
142,SL.EMP.TOTL.SP.FE.ZS,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
143,SL.EMP.TOTL.SP.MA.ZS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)"
144,SL.EMP.TOTL.SP.ZS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
145,SL.EMP.1524.SP.FE.ZS,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)"
146,SL.EMP.1524.SP.MA.ZS,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"
147,SL.EMP.1524.SP.ZS,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)"
148,EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2017 PPP GDP)
149,TX.UVI.MRCH.XD.WD,Export unit value index (2015 = 100)
150,TX.VAL.MRCH.XD.WD,Export value index (2015 = 100)
151,TX.QTY.MRCH.XD.WD,Export volume index (2015 = 100)
152,BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)"
153,BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)"
154,SH.XPD.EHEX.CH.ZS,External health expenditure (% of current health expenditure)
155,SH.XPD.EHEX.PC.CD,External health expenditure per capita (current US$)
156,SH.XPD.EHEX.PP.CD,"External health expenditure per capita, PPP (current international $)"
157,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
158,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land)
159,IT.NET.BBND,Fixed broadband subscriptions
160,IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people)
161,IT.MLT.MAIN,Fixed telephone subscriptions
162,IT.MLT.MAIN.P2,Fixed telephone subscriptions (per 100 people)
163,TX.VAL.FOOD.ZS.UN,Food exports (% of merchandise exports)
164,TM.VAL.FOOD.ZS.UN,Food imports (% of merchandise imports)
165,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100)
166,BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)"
167,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)"
168,BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)"
169,BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)"
170,BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)"
171,AG.LND.FRST.ZS,Forest area (% of land area)
172,AG.LND.FRST.K2,Forest area (sq. km)
173,NY.GDP.FRST.RT.ZS,Forest rents (% of GDP)
174,TX.VAL.FUEL.ZS.UN,Fuel exports (% of merchandise exports)
175,TM.VAL.FUEL.ZS.UN,Fuel imports (% of merchandise imports)
176,NY.GDP.MKTP.KD,GDP (constant 2015 US$)
177,NY.GDP.MKTP.KN,GDP (constant LCU)
178,NY.GDP.MKTP.CN,GDP (current LCU)
179,NY.GDP.MKTP.CD,GDP (current US$)
180,NY.GDP.DEFL.ZS,GDP deflator (base year varies by country)
181,NY.GDP.DEFL.ZS.AD,GDP deflator: linked series (base year varies by country)
182,NY.GDP.MKTP.KD.ZG,GDP growth (annual %)
183,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$)
184,NY.GDP.PCAP.KN,GDP per capita (constant LCU)
185,NY.GDP.PCAP.CN,GDP per capita (current LCU)
186,NY.GDP.PCAP.CD,GDP per capita (current US$)
187,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %)
